service_name,last_status,last_check_time
API 网关,正常,2026-06-09 16:12:05
用户认证服务,正常,2026-06-09 16:12:05
MySQL 主库,正常,2026-06-09 16:12:05
Redis 缓存,正常,2026-06-09 16:12:05
MongoDB,正常,2026-06-09 16:12:05
文件存储服务,正常,2026-06-09 16:12:05
消息队列 Kafka,正常,2026-06-09 16:12:05
搜索引擎 Elasticsearch,警告,2026-06-09 16:12:05
支付网关,正常,2026-06-09 16:12:05
邮件服务,正常,2026-06-09 16:12:05
短信服务,正常,2026-06-09 16:12:05
CDN 加速,正常,2026-06-09 16:12:05
负载均衡器,正常,2026-06-09 16:12:05
日志收集服务,正常,2026-06-09 16:12:05
图像识别服务,警告,2026-06-09 16:12:05
