service_type,warning_threshold,critical_threshold,warning_upgrade_minutes,critical_upgrade_minutes,max_upgrade_level,warning_notify_person,critical_notify_person,escalation_notify_person
网关服务,200,500,30,15,3,运维工程师,技术主管,技术总监
认证服务,150,300,20,10,3,运维工程师,技术主管,技术总监
数据库,100,300,15,5,3,DBA,数据库主管,技术总监
缓存服务,20,50,20,10,3,运维工程师,技术主管,技术总监
存储服务,300,800,45,20,3,存储工程师,技术主管,技术总监
消息服务,100,300,30,15,3,运维工程师,技术主管,技术总监
搜索服务,300,600,30,15,3,运维工程师,技术主管,技术总监
支付服务,500,1000,10,5,3,支付工程师,支付主管,CTO
通知服务,400,800,60,30,3,运维工程师,技术主管,技术总监
网络服务,50,150,15,5,3,网络工程师,网络主管,技术总监
监控服务,200,500,45,20,3,运维工程师,技术主管,技术总监
AI 服务,1000,2000,60,30,3,AI工程师,AI主管,技术总监
